agent_id,baseline_plurality_margin_votes,candidate_id,candidate_plurality_margin_votes,candidate_prompt_char_count,candidate_prompt_ends_with_sentence_boundary,candidate_prompt_over_soft_limit,candidate_prompt_overlength_rejected,candidate_reward_component_missing,candidate_target_accuracy,competence_reward_component,depth1_gain_rate,depth1_loss_rate,depth1_net_delta,depth2_gain_rate,depth2_loss_rate,depth2_metric_missing,depth2_net_delta,depth3_gain_rate,depth3_loss_rate,depth3_net_delta,epoch,metric_missing,plurality_margin_vote_delta,plurality_metric_missing,plurality_pivotal_fix_opportunity_rate,plurality_pivotal_fix_rate,plurality_pivotal_loss_rate,plurality_vote_gain_rate,plurality_vote_loss_rate,plurality_vote_net_delta,reward,setting_seed,specialization_strength,stage_aux_objective,step,task,vote_gain_rate,vote_loss_rate
2,-0.8,g1_a2_p26b37815e849_0_410c6c64e088,-0.2,311,True,False,False,False,0.7,0.0,0.2,0.0,0.2,0.1,0.0,False,0.1,0.0,0.0,0.0,1,False,0.6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.724,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
2,-0.8,g1_a2_p26b37815e849_1_36826a060e1c,-0.4,297,True,False,False,False,0.6,0.0,0.1,0.0,0.1,0.1,0.0,False,0.1,0.0,0.0,0.0,1,False,0.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.616,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
2,-0.8,g0_00bcb3ee9efb,-0.8,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
0,-0.2,g1_a0_p26b37815e849_0_09fbc5d3cbd3,0.4,290,True,False,False,False,0.7,0.0,0.1,0.0,0.1,0.1,0.0,False,0.1,0.1,0.0,0.1,1,False,0.6,False,0.1,0.1,0.0,0.1,0.0,0.1,0.754,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,10,disambiguation_qa,0.1,0.0
0,-0.2,g1_a0_p26b37815e849_1_e13549368175,0.0,301,True,False,False,False,0.5,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.1,0.0,0.1,1,False,0.2,False,0.1,0.1,0.0,0.1,0.0,0.1,0.538,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,10,disambiguation_qa,0.1,0.0
0,-0.2,g0_00bcb3ee9efb,-0.2,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.1,0.0,0.0,0.0,0.0,0.0,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
1,-1.2,g1_a1_p26b37815e849_0_7f4f526d03de,-1.0,265,True,False,False,False,0.5,0.0,0.1,0.0,0.1,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.508,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
1,-1.2,g1_a1_p26b37815e849_1_417a4d207e73,-1.2,258,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
1,-1.2,g0_00bcb3ee9efb,-1.2,171,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.4,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g1_a4_p26b37815e849_0_d8063e3e4a3f,-0.8,296,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.40800000000000003,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g1_a4_p26b37815e849_1_a726d99758fb,-1.0,289,True,False,False,False,0.3,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.3,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
4,-1.0,g0_00bcb3ee9efb,-1.0,171,True,False,False,False,0.3,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.3,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,0.0,0.0,20,disambiguation_qa,0.0,0.0
2,-0.2,g1_a2_p26b37815e849_0_0507f230e296,-0.2,313,True,False,False,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,0.0,0.0,10,disambiguation_qa,0.0,0.0
