baseline,contrast,delta_mean_family_diversity,delta_mean_homogeneity,delta_mean_major_distribution_distance,delta_mean_major_diversity,delta_mean_prompt_embedding_diversity,delta_mean_trace_embedding_diversity,delta_mean_trace_token_diversity,delta_mean_vote_acc,left_model,left_prompt_family,n,prompt_mode,right_model,right_prompt_family,unit
same_model_same_prompt,different_model_different_prompt_family,,,0.1026473578130574,,,,,,deepseek-chat,mixed_strategy,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.11984735781305739,,,,,,deepseek-chat,mixed_strategy,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.18544735781305738,,,,,,deepseek-chat,same_definition,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.13624735781305736,,,,,,deepseek-chat,mixed_strategy,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.13364735781305737,,,,,,deepseek-chat,mixed_strategy,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.20464735781305737,,,,,,deepseek-chat,same_definition,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.13764735781305737,,,,,,deepseek-chat,mixed_strategy,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.15264735781305738,,,,,,deepseek-chat,mixed_strategy,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.2336473578130574,,,,,,deepseek-chat,same_definition,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.1182473578130574,,,,,,deepseek-chat,mixed_strategy,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.09824735781305738,,,,,,deepseek-chat,mixed_strategy,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.1626473578130574,,,,,,deepseek-chat,same_definition,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.18004735781305736,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.08964735781305738,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.08904735781305739,,,,,,gemini-2.5-flash-lite,same_definition,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05735264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.04695264218694262,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.033352642186942616,,,,,,gemini-2.5-flash-lite,same_definition,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.06755264218694262,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05155264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.03595264218694261,,,,,,gemini-2.5-flash-lite,same_definition,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05355264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.09895264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.0705526421869426,,,,,,gemini-2.5-flash-lite,same_definition,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.1832473578130574,,,,,,gpt-4o-mini,mixed_strategy,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.08964735781305738,,,,,,gpt-4o-mini,mixed_strategy,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.11384735781305738,,,,,,gpt-4o-mini,same_definition,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.024952642186942597,,,,,,gpt-4o-mini,mixed_strategy,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
