seed,update_index,target_member,parent_state_id,num_generated_candidates,num_valid_candidates,num_feasible_candidates,num_full_rollout_candidates,committed,committed_candidate_id,diagnostic_solver_calls,proposal_optimizer_calls,candidate_generation_optimizer_calls,member_rollout_solver_calls,team_rollout_solver_calls,safety_eval_solver_calls,shadow_eval_solver_calls,post_commit_eval_solver_calls,unknown_solver_calls,unknown_optimizer_calls,total_solver_calls,total_optimizer_calls,solver_input_tokens,solver_output_tokens,optimizer_input_tokens,optimizer_output_tokens,total_tokens,attribution_status
76,0,2,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,6,4,5,7,1,1692f0930b4425bfc3da576fd89271282faa991b90b525681f916309950b8fcd,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,1,3,283953e039b38962380f8a0f52ed6451a3c450c4ad051b3e2f18eede46f80620,9,4,2,7,1,74202d142a0c4f00348d3d0efa216f163e16527dd4125a9b333b8932f9864f49,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,2,1,5e8f53c735d3d82b6c59d93434dab7c5bf38e2c72e0446470214fa279d98ee73,8,4,2,6,1,95e8138062ca8db171af88857f08c1bdf8e188e331e9460443d77ea8d5ec3952,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,3,0,a0f7d68f8f6d48b9eaefca0067b81327ad734f94ac4f8ee7213390bac60d7ab1,17,2,1,3,1,3d7c66aa6695ac0aa37833f37c22481f0165a3bcf327e9355d5736ad1ad5eb35,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,4,4,07a421d49e3985b7d19a78869cdfe2df0d6be06d577384c14f711aa2f3d1f31a,4,4,4,8,1,8d62e11b950ed72afc3e54e6e7f90d3cb1fffd823ca3c3fb8fb1c815b6b98f10,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,5,4,81b8bb8d9247b769aa33d0512f01aefff7707cdd71405f48ef4284a0c2617860,4,3,1,5,1,3483b201813fff982499b67c68163c5ff9de892ac6b565260a457835f2b5460f,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,6,0,0c6db747658302ac717cc60a03cf85eb17351133f9fb1bd71ba98b9ebc92be5b,4,4,0,8,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,7,4,0c6db747658302ac717cc60a03cf85eb17351133f9fb1bd71ba98b9ebc92be5b,4,4,1,7,1,86467eda2d1f31623297a020fcb25fad9a8f8a19335f64c2c205b8272eb9b43c,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,8,1,42816c1130798d3591f5f3fdc37779ae99abcfb2b234782d61463beb52f1238f,4,4,0,7,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,9,0,42816c1130798d3591f5f3fdc37779ae99abcfb2b234782d61463beb52f1238f,5,3,0,6,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,10,1,42816c1130798d3591f5f3fdc37779ae99abcfb2b234782d61463beb52f1238f,4,4,1,6,1,7b80449fd2edff62b0d9685586fb80188578af1e3e5df7d5cef36c42b4a8ba33,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,11,1,f6d5457347c649fde9dbf4b153ad01cf8b1353bddeda677deece52d27c6bd65e,4,3,0,4,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,12,0,f6d5457347c649fde9dbf4b153ad01cf8b1353bddeda677deece52d27c6bd65e,0,0,0,0,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,13,4,f6d5457347c649fde9dbf4b153ad01cf8b1353bddeda677deece52d27c6bd65e,2,2,0,4,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,14,1,f6d5457347c649fde9dbf4b153ad01cf8b1353bddeda677deece52d27c6bd65e,15,3,0,4,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,15,0,f6d5457347c649fde9dbf4b153ad01cf8b1353bddeda677deece52d27c6bd65e,2,2,0,4,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
76,16,4,f6d5457347c649fde9dbf4b153ad01cf8b1353bddeda677deece52d27c6bd65e,4,4,0,8,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,0,3,6a7200eb782f005306d996f0be942d1541c859ba0394a65e1ea42c4a5d6d7c89,11,4,5,8,1,56926078c16fd1a5e9f25b53176ce4ecba9fcaa2940b6d2dc94de732e0b21377,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,1,3,9ec0781de6dc82aafac8a901b224234d111b2fa87e6eb33c465e5aed97ea6aaf,4,4,1,7,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,2,1,9ec0781de6dc82aafac8a901b224234d111b2fa87e6eb33c465e5aed97ea6aaf,13,4,3,7,1,869284406ad234cdcd7e2500e77a913a983e86669e4c11519bfcf103ec77e6d3,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,3,0,d656261678e90de4c60421abb88b609e92598fa02cc8e7abf714de407b7f6e28,7,2,3,4,1,48ab0c571ce6ec406317d4ea7c92d1c199c7eec35fe1083d45391a953916d747,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,4,2,9190d2ff02adbe04adebf3f0efc7ae8db573bdae1150905fd8e96379b0895947,14,2,0,2,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,5,2,9190d2ff02adbe04adebf3f0efc7ae8db573bdae1150905fd8e96379b0895947,2,2,2,4,1,a82a7c4c085eec00846887e9a4fbace68831f9f494045fa54be09bdd12841117,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,6,4,3263a03586f72d52a752719eab28768cafd00aef5c5af5613c867f7943701732,8,1,2,2,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,7,2,3263a03586f72d52a752719eab28768cafd00aef5c5af5613c867f7943701732,2,1,0,2,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,8,0,3263a03586f72d52a752719eab28768cafd00aef5c5af5613c867f7943701732,4,1,0,2,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,9,4,3263a03586f72d52a752719eab28768cafd00aef5c5af5613c867f7943701732,10,3,2,5,1,28976189a9e758cc8ce85577defef664eb72be47c8e78d0aeb8b4332dce8a1db,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,10,2,72fde0edb90225bbbb47f6c5d133a38fcb3a1b13ba151f8d4fb0e5affdd9f1ec,4,4,0,7,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,11,0,72fde0edb90225bbbb47f6c5d133a38fcb3a1b13ba151f8d4fb0e5affdd9f1ec,3,2,0,3,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,12,4,72fde0edb90225bbbb47f6c5d133a38fcb3a1b13ba151f8d4fb0e5affdd9f1ec,2,2,0,3,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,13,2,72fde0edb90225bbbb47f6c5d133a38fcb3a1b13ba151f8d4fb0e5affdd9f1ec,4,3,0,5,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,14,0,72fde0edb90225bbbb47f6c5d133a38fcb3a1b13ba151f8d4fb0e5affdd9f1ec,4,3,0,5,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
77,15,4,72fde0edb90225bbbb47f6c5d133a38fcb3a1b13ba151f8d4fb0e5affdd9f1ec,4,2,1,4,0,,,,,,,,,,,,,,,,,,,NOT_RECOVERABLE_PER_OPPORTUNITY_ZERO_API
