all_same_pair_rate,baseline_only,candidate_family_shift_rate,candidate_invalid_delta,candidate_rho_reduction,candidate_summary_embedding_shift,critic_model,disagreement_rate,early_stopped,eval_size,has_probe_targets,history_last_epoch,init_mode,lambda_diversity,lambda_homogeneity,latest_test_mean_family_diversity,latest_test_mean_family_homogeneity_rate,latest_test_mean_llm_direct_diversity_score,latest_test_size,latest_test_vote_acc,latest_train_mean_family_diversity,latest_train_mean_family_homogeneity_rate,latest_train_mean_llm_direct_diversity_score,latest_train_vote_acc,low_confidence_share,macro_diversity_weight,major_disagreement_rate,mean_family_confidence,mean_family_diversity,mean_family_homogeneity_rate,mean_intra_family_diversity,mean_major_family_diversity,mean_updated_agents,model,optimization_signal_rate,prediction_file,probe_kind,probe_name,run_dir,run_name,same_major_family_weight,seed,selected_epoch,target_exact_hit_rate,target_same_major_hit_rate,train_steps,update_applied_rate,vote_acc
0.04,1,,,,,gpt-4o-mini,0.12,,100,1,1,shared,0.0,0.0,0.5818787384273346,0.5092478477315014,0.0,100,0.89,0.0,0.0,0.0,0.0,0.012,0.5,0.46900000000000003,0.8402,0.5818787384273346,0.5092478477315014,0.46047240340339385,0.7032850734512754,,deepseek-chat,,prove_experiments\cleaned_runs\P4_mixed_strategy_deepseek_chat_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\cleaned_runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,0.5,42,,0.268,0.536,0,,0.89
0.16,1,,,,,gpt-4o-mini,0.38,,100,1,1,shared,0.0,0.0,0.4268165512504572,0.8140759539137928,0.0,100,0.8,0.0,0.0,0.0,0.0,0.006,0.5,0.181,0.8449,0.42681655125045725,0.8140759539137928,0.5259888729702498,0.3276442295306647,,gemini-2.5-flash-lite,,prove_experiments\cleaned_runs\P4_mixed_strategy_gemini_flash_lite_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\cleaned_runs\P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,0.5,42,,0.256,0.614,0,,0.8
0.07,1,,,,,gpt-4o-mini,0.17,,100,1,1,shared,0.0,0.0,0.4805183010379656,0.6994929362065918,0.0,100,0.86,0.0,0.0,0.0,0.0,0.002,0.5,0.263,0.84876,0.48051830103796567,0.6994929362065918,0.551458493121353,0.40957810895457836,,gpt-4o-mini,,prove_experiments\cleaned_runs\P4_mixed_strategy_gpt4omini_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\cleaned_runs\P4_mixed_strategy_gpt4omini_seed42,P4_mixed_strategy_gpt4omini_seed42,0.5,42,,0.224,0.638,0,,0.86
0.03,1,,,,,gpt-4o-mini,0.53,,100,1,1,shared,0.0,0.0,0.5278280824729255,0.6076067868374634,0.0,100,0.75,0.0,0.0,0.0,0.0,0.01,0.5,0.311,0.8415,0.5278280824729255,0.6076067868374634,0.5906406769612286,0.46501548798462233,,qwen2.5-7b-instruct,,prove_experiments\cleaned_runs\P4_mixed_strategy_qwen25_7b_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\cleaned_runs\P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,0.5,42,,0.268,0.668,0,,0.75
0.04,1,,,,,gpt-4o-mini,0.07,,100,1,1,shared,0.0,0.0,0.5810347239291933,0.5968517167179863,0.0,100,0.95,0.0,0.0,0.0,0.0,0.002,0.5,0.381,0.8482999999999999,0.5810347239291934,0.5968517167179863,0.5728702367521784,0.5891992111062083,,qwen3.5-plus,,prove_experiments\cleaned_runs\P4_mixed_strategy_qwen35_plus_seed42\test_epoch1_predictions.jsonl,mixed,mixed_strategy_mmlu,prove_experiments\cleaned_runs\P4_mixed_strategy_qwen35_plus_seed42,P4_mixed_strategy_qwen35_plus_seed42,0.5,42,,0.206,0.314,0,,0.95
0.1,1,,,,,gpt-4o-mini,0.09,,100,1,1,shared,0.0,0.0,0.48070818362686885,0.5370491881829212,0.0,100,0.91,0.0,0.0,0.0,0.0,0.012,0.5,0.407,0.84406,0.48070818362686885,0.5370491881829211,0.3237655803737681,0.6376507868799696,,deepseek-chat,,prove_experiments\cleaned_runs\P4_same_definition_deepseek_chat_seed42\test_epoch1_predictions.jsonl,same,same_definition_mmlu,prove_experiments\cleaned_runs\P4_same_definition_deepseek_chat_seed42,P4_same_definition_deepseek_chat_seed42,0.5,42,,0.284,0.422,0,,0.91
0.16,1,,,,,gpt-4o-mini,0.3,,100,1,1,shared,0.0,0.0,0.4598038770481393,0.7652974949260697,0.0,100,0.84,0.0,0.0,0.0,0.0,0.014,0.5,0.214,0.83836,0.4598038770481393,0.7652974949260697,0.5158567596832159,0.4037509944130627,,gemini-2.5-flash-lite,,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42\test_epoch1_predictions.jsonl,same,same_definition_mmlu,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.5,42,,0.12,0.662,0,,0.84
0.12,1,,,,,gpt-4o-mini,0.15,,100,1,1,shared,0.0,0.0,0.47218855953089894,0.7896072479403202,0.0,100,0.87,0.0,0.0,0.0,0.0,0.0,0.5,0.171,0.8501,0.47218855953089894,0.7896072479403201,0.6239065799113432,0.3204705391504547,,gpt-4o-mini,,prove_experiments\cleaned_runs\P4_same_definition_gpt4omini_seed42\test_epoch1_predictions.jsonl,same,same_definition_mmlu,prove_experiments\cleaned_runs\P4_same_definition_gpt4omini_seed42,P4_same_definition_gpt4omini_seed42,0.5,42,,0.264,0.734,0,,0.87
0.04,1,,,,,gpt-4o-mini,0.47,,100,1,1,shared,0.0,0.0,0.4933772509530827,0.6981104107106023,0.0,100,0.73,0.0,0.0,0.0,0.0,0.018000000000000002,0.5,0.218,0.8347,0.4933772509530827,0.6981104107106023,0.6168542382512794,0.369900263654886,,qwen2.5-7b-instruct,,prove_experiments\cleaned_runs\P4_same_definition_qwen25_7b_seed42\test_epoch1_predictions.jsonl,same,same_definition_mmlu,prove_experiments\cleaned_runs\P4_same_definition_qwen25_7b_seed42,P4_same_definition_qwen25_7b_seed42,0.5,42,,0.332,0.76,0,,0.73
0.23,1,,,,,gpt-4o-mini,0.06,,100,1,1,shared,0.0,0.0,0.4716418044537828,0.7784622304123908,0.0,100,0.95,0.0,0.0,0.0,0.0,0.0,0.5,0.198,0.85,0.4716418044537828,0.7784622304123909,0.5456499777877655,0.3976336311198001,,qwen3.5-plus,,prove_experiments\cleaned_runs\P4_same_definition_qwen35_plus_seed42\test_epoch1_predictions.jsonl,same,same_definition_mmlu,prove_experiments\cleaned_runs\P4_same_definition_qwen35_plus_seed42,P4_same_definition_qwen35_plus_seed42,0.5,42,,0.336,0.62,0,,0.95
