task,setting,seed,protocol_pass,git_commit_ok,git_clean,checkpoint_v4,protocol_version_ok,strict_split_pass,test_once_pass,matched_config_pass,actual_config_diffs_vs_static,expected_config_diffs_vs_static,tcs_pass,missing_error_field_candidates,nonempty_paired_candidate_count,missing_capability_field_candidates,nonempty_capability_candidate_count,evidence_hash_audit_pass,profile_pollution_audit_pass
disambiguation_qa,shared_vote_pareto_tcs_static,42,True,True,True,True,True,True,True,True,,,True,0,0,0,0,True,True
disambiguation_qa,shared_vote_pareto_tcs_boundary_selector,42,True,True,True,True,True,True,True,True,boundary_selector_enabled,boundary_selector_enabled,True,0,0,0,0,True,True
disambiguation_qa,shared_vote_error_pareto_tcs,42,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,True,0,82,0,0,True,True
disambiguation_qa,shared_vote_error_pareto_tcs_residual_specialization,42,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,92,0,92,True,True
disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,88,0,88,True,True
disambiguation_qa,shared_vote_pareto_tcs_static,43,True,True,True,True,True,True,True,True,,,True,0,0,0,0,True,True
disambiguation_qa,shared_vote_pareto_tcs_boundary_selector,43,True,True,True,True,True,True,True,True,boundary_selector_enabled,boundary_selector_enabled,True,0,0,0,0,True,True
disambiguation_qa,shared_vote_error_pareto_tcs,43,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,True,0,88,0,0,True,True
disambiguation_qa,shared_vote_error_pareto_tcs_residual_specialization,43,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,99,0,99,True,True
disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,78,0,78,True,True
sports_understanding,shared_vote_pareto_tcs_static,42,True,True,True,True,True,True,True,True,,,True,0,0,0,0,True,True
sports_understanding,shared_vote_pareto_tcs_boundary_selector,42,True,True,True,True,True,True,True,True,boundary_selector_enabled,boundary_selector_enabled,True,0,0,0,0,True,True
sports_understanding,shared_vote_error_pareto_tcs,42,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,True,0,98,0,0,True,True
sports_understanding,shared_vote_error_pareto_tcs_residual_specialization,42,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,51,0,51,True,True
sports_understanding,shared_vote_error_pareto_tcs_residual_cycle_guard,42,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,46,0,46,True,True
sports_understanding,shared_vote_pareto_tcs_static,43,True,True,True,True,True,True,True,True,,,True,0,0,0,0,True,True
sports_understanding,shared_vote_pareto_tcs_boundary_selector,43,True,True,True,True,True,True,True,True,boundary_selector_enabled,boundary_selector_enabled,True,0,0,0,0,True,True
sports_understanding,shared_vote_error_pareto_tcs,43,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;shared_error_metrics_enabled,True,0,71,0,0,True,True
sports_understanding,shared_vote_error_pareto_tcs_residual_specialization,43,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,76,0,76,True,True
sports_understanding,shared_vote_error_pareto_tcs_residual_cycle_guard,43,True,True,True,True,True,True,True,True,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,boundary_selector_enabled;candidate_selection_mode;error_dependence_guard_enabled;mechanism_trust_region_enabled;residual_cycle_guard_enabled;residual_specialization_enabled;shared_error_metrics_enabled,True,0,58,0,58,True,True
