task,setting,seed,run_complete,test_prediction_rows,history_entries,tcs_problems,run_dir
disambiguation_qa,shared_vote_pareto_tcs_static,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_pareto_tcs_static_seed42
disambiguation_qa,shared_vote_pareto_tcs_boundary_selector,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_pareto_tcs_boundary_selector_seed42
disambiguation_qa,shared_vote_error_pareto_tcs,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_seed42
disambiguation_qa,shared_vote_error_pareto_tcs_residual_specialization,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_specialization_seed42
disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42
disambiguation_qa,shared_vote_pareto_tcs_static,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_pareto_tcs_static_seed43
disambiguation_qa,shared_vote_pareto_tcs_boundary_selector,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_pareto_tcs_boundary_selector_seed43
disambiguation_qa,shared_vote_error_pareto_tcs,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_seed43
disambiguation_qa,shared_vote_error_pareto_tcs_residual_specialization,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_specialization_seed43
disambiguation_qa,shared_vote_error_pareto_tcs_residual_cycle_guard,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\disambiguation_qa\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43
sports_understanding,shared_vote_pareto_tcs_static,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_static_seed42
sports_understanding,shared_vote_pareto_tcs_boundary_selector,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_boundary_selector_seed42
sports_understanding,shared_vote_error_pareto_tcs,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_seed42
sports_understanding,shared_vote_error_pareto_tcs_residual_specialization,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_specialization_seed42
sports_understanding,shared_vote_error_pareto_tcs_residual_cycle_guard,42,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_cycle_guard_seed42
sports_understanding,shared_vote_pareto_tcs_static,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_static_seed43
sports_understanding,shared_vote_pareto_tcs_boundary_selector,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_pareto_tcs_boundary_selector_seed43
sports_understanding,shared_vote_error_pareto_tcs,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_seed43
sports_understanding,shared_vote_error_pareto_tcs_residual_specialization,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_specialization_seed43
sports_understanding,shared_vote_error_pareto_tcs_residual_cycle_guard,43,True,60,3,False,D:\myx\grade_one\experiments\multi_agent_diversity_runtime\runs_vote_v7_strict_pilot_0d6093e\sports_understanding\shared_vote_error_pareto_tcs_residual_cycle_guard_seed43
