aggregation_gap_mean,aggregation_gap_std,benchmark,best_individual_acc_mean,best_individual_acc_std,correct_disagreement_rate_mean,correct_disagreement_rate_std,estimated_cost_mean,estimated_cost_std,majority_vote_acc_mean,majority_vote_acc_std,mean_individual_acc_mean,mean_individual_acc_std,mean_useful_diversity_mean,mean_useful_diversity_std,n,oracle_acc_mean,oracle_acc_std,rescue_available_rate_mean,rescue_available_rate_std,setting,task_id,total_llm_calls_mean,total_llm_calls_std,total_tokens_mean,total_tokens_std,vote_acc_mean,vote_acc_std,weighted_vote_acc_mean,weighted_vote_acc_std
0.020000000000000018,0.0,BBH,0.98,0.0,0.04,0.0,0.0,0.0,0.97,0.0,0.972,0.0,0.05923747289180756,0.0,1,0.99,0.0,0.02,0.0,shared_baseline,boolean_expressions,500.0,0.0,97224.0,0.0,0.97,0.0,0.98,0.0
0.0,0.0,BBH,0.98,0.0,0.05,0.0,0.0,0.0,0.99,0.0,0.976,0.0,0.0988174841205279,0.0,1,0.99,0.0,0.0,0.0,shared_guarded_beam,boolean_expressions,4355.0,0.0,2018810.0,0.0,0.99,0.0,0.99,0.0
0.08000000000000002,0.0,BBH,0.46,0.0,0.18,0.0,0.0,0.0,0.45,0.0,0.446,0.0,0.017970984935760496,0.0,1,0.53,0.0,0.08,0.0,shared_baseline,disambiguation_qa,500.0,0.0,157470.0,0.0,0.45,0.0,0.45,0.0
0.18000000000000005,0.0,BBH,0.71,0.0,0.45,0.0,0.0,0.0,0.63,0.0,0.604,0.0,0.04498052630821864,0.0,1,0.81,0.0,0.18,0.0,shared_guarded_beam,disambiguation_qa,4606.0,0.0,3374581.0,0.0,0.63,0.0,0.61,0.0
0.0,0.0,BBH,0.99,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.99,0.0,0.025569871902465815,0.0,1,1.0,0.0,0.0,0.0,shared_baseline,formal_fallacies,500.0,0.0,288650.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,BBH,1.0,0.0,0.03,0.0,0.0,0.0,1.0,0.0,0.99,0.0,0.05571719388167063,0.0,1,1.0,0.0,0.0,0.0,shared_guarded_beam,formal_fallacies,4453.0,0.0,3758103.0,0.0,1.0,0.0,0.98,0.0
0.1399999999999999,0.0,BBH,0.7,0.0,0.33,0.0,0.0,0.0,0.68,0.0,0.664,0.0,0.0371764975587527,0.0,1,0.82,0.0,0.14,0.0,shared_baseline,geometric_shapes,500.0,0.0,273731.0,0.0,0.68,0.0,0.66,0.0
0.10999999999999999,0.0,BBH,0.76,0.0,0.3,0.0,0.0,0.0,0.75,0.0,0.718,0.0,0.09796347763140995,0.0,1,0.86,0.0,0.11,0.0,shared_guarded_beam,geometric_shapes,4589.0,0.0,4120293.0,0.0,0.75,0.0,0.73,0.0
0.07999999999999996,0.0,BBH,0.84,0.0,0.18,0.0,0.0,0.0,0.81,0.0,0.808,0.0,0.02051851644118627,0.0,1,0.89,0.0,0.08,0.0,shared_baseline,ruin_names,500.0,0.0,188793.0,0.0,0.81,0.0,0.8,0.0
0.10000000000000009,0.0,BBH,0.82,0.0,0.26,0.0,0.0,0.0,0.82,0.0,0.806,0.0,0.046577599267164864,0.0,1,0.92,0.0,0.1,0.0,shared_guarded_beam,ruin_names,4498.0,0.0,3385395.0,0.0,0.82,0.0,0.82,0.0
0.06000000000000005,0.0,BBH,0.86,0.0,0.14,0.0,0.0,0.0,0.83,0.0,0.834,0.0,0.019820442418257395,0.0,1,0.89,0.0,0.06,0.0,shared_baseline,sports_understanding,500.0,0.0,107903.0,0.0,0.83,0.0,0.84,0.0
0.09000000000000008,0.0,BBH,0.83,0.0,0.18,0.0,0.0,0.0,0.82,0.0,0.824,0.0,0.048450524191061654,0.0,1,0.91,0.0,0.09,0.0,shared_guarded_beam,sports_understanding,4500.0,0.0,2426312.0,0.0,0.82,0.0,0.83,0.0
